Date,Forecasted Sales
2024-03-01,322.88831693478744
2024-03-02,320.0134441139163
2024-03-03,394.860967398977
2024-03-04,254.41127336961918
2024-03-05,313.31906115908663
2024-03-06,363.6797564866646
2024-03-07,314.46376075728165
2024-03-08,329.7693196800924
2024-03-09,281.4530577928472
2024-03-10,359.4360987398942
2024-03-11,334.3706052126156
2024-03-12,293.43776339998453
2024-03-13,332.96760743596326
2024-03-14,317.37325976274604
2024-03-15,346.076627429828
2024-03-16,305.2314932217114
2024-03-17,312.6477933399235
2024-03-18,344.0316505611676
2024-03-19,314.99761919893183
2024-03-20,326.80435702016734
2024-03-21,311.3096536010721
2024-03-22,331.0061322942095
2024-03-23,331.7737258812447
2024-03-24,308.91964688925657
2024-03-25,328.83708464035743
2024-03-26,321.29890132332093
2024-03-27,328.5891400687667
2024-03-28,320.30808281083586
2024-03-29,316.51335042353156
2024-03-30,332.3950028009035
